image_id,image_filename,image_path,name,caption,types,genus,generation
1,001_bulbasaur.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/001_bulbasaur.png,bulbasaur,grass and poison-type seed pokemon,"grass, poison",Seed Pokémon,generation-i
2,002_ivysaur.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/002_ivysaur.png,ivysaur,grass and poison-type seed pokemon,"grass, poison",Seed Pokémon,generation-i
3,003_venusaur.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/003_venusaur.png,venusaur,grass and poison-type seed pokemon,"grass, poison",Seed Pokémon,generation-i
4,004_charmander.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/004_charmander.png,charmander,fire-type lizard pokemon,fire,Lizard Pokémon,generation-i
5,005_charmeleon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/005_charmeleon.png,charmeleon,fire-type flame pokemon,fire,Flame Pokémon,generation-i
6,006_charizard.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/006_charizard.png,charizard,fire and flying-type flame pokemon,"fire, flying",Flame Pokémon,generation-i
7,007_squirtle.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/007_squirtle.png,squirtle,water-type tiny turtle pokemon,water,Tiny Turtle Pokémon,generation-i
8,008_wartortle.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/008_wartortle.png,wartortle,water-type turtle pokemon,water,Turtle Pokémon,generation-i
9,009_blastoise.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/009_blastoise.png,blastoise,water-type shellfish pokemon,water,Shellfish Pokémon,generation-i
10,010_caterpie.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/010_caterpie.png,caterpie,bug-type worm pokemon,bug,Worm Pokémon,generation-i
11,011_metapod.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/011_metapod.png,metapod,bug-type cocoon pokemon,bug,Cocoon Pokémon,generation-i
12,012_butterfree.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/012_butterfree.png,butterfree,bug and flying-type butterfly pokemon,"bug, flying",Butterfly Pokémon,generation-i
13,013_weedle.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/013_weedle.png,weedle,bug and poison-type hairy bug pokemon,"bug, poison",Hairy Bug Pokémon,generation-i
14,014_kakuna.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/014_kakuna.png,kakuna,bug and poison-type cocoon pokemon,"bug, poison",Cocoon Pokémon,generation-i
15,015_beedrill.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/015_beedrill.png,beedrill,bug and poison-type poison bee pokemon,"bug, poison",Poison Bee Pokémon,generation-i
16,016_pidgey.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/016_pidgey.png,pidgey,normal and flying-type tiny bird pokemon,"normal, flying",Tiny Bird Pokémon,generation-i
17,017_pidgeotto.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/017_pidgeotto.png,pidgeotto,normal and flying-type bird pokemon,"normal, flying",Bird Pokémon,generation-i
18,018_pidgeot.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/018_pidgeot.png,pidgeot,normal and flying-type bird pokemon,"normal, flying",Bird Pokémon,generation-i
19,019_rattata.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/019_rattata.png,rattata,normal-type mouse pokemon,normal,Mouse Pokémon,generation-i
20,020_raticate.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/020_raticate.png,raticate,normal-type mouse pokemon,normal,Mouse Pokémon,generation-i
21,021_spearow.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/021_spearow.png,spearow,normal and flying-type tiny bird pokemon,"normal, flying",Tiny Bird Pokémon,generation-i
22,022_fearow.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/022_fearow.png,fearow,normal and flying-type beak pokemon,"normal, flying",Beak Pokémon,generation-i
23,023_ekans.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/023_ekans.png,ekans,poison-type snake pokemon,poison,Snake Pokémon,generation-i
24,024_arbok.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/024_arbok.png,arbok,poison-type cobra pokemon,poison,Cobra Pokémon,generation-i
25,025_pikachu.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/025_pikachu.png,pikachu,electric-type mouse pokemon,electric,Mouse Pokémon,generation-i
26,026_raichu.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/026_raichu.png,raichu,electric-type mouse pokemon,electric,Mouse Pokémon,generation-i
27,027_sandshrew.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/027_sandshrew.png,sandshrew,ground-type mouse pokemon,ground,Mouse Pokémon,generation-i
28,028_sandslash.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/028_sandslash.png,sandslash,ground-type mouse pokemon,ground,Mouse Pokémon,generation-i
